"RowIndex","Prediction"
1,0
2,0
3,0
4,0
5,1
6,1
7,-2
8,0
9,0
10,-2
11,-1
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,2
21,0
22,2
23,2
24,0
25,0
26,1
27,1
28,-1
29,0
30,0
31,2
32,0
33,1
34,-1
35,0
36,0
37,0
38,2
39,1
40,0
41,1
42,1
43,-1
44,1
45,2
46,0
47,-1
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,-1
56,1
57,-2
58,-2
59,-1
60,1
61,0
62,-1
63,-1
64,0
65,0
66,0
67,0
68,0
69,1
70,-1
71,0
72,1
73,-1
74,1
75,-2
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,2
89,-2
90,0
91,0
92,1
93,-1
94,1
95,1
