"RowIndex","Prediction"
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,-1
9,0
10,-2
11,-2
12,1
13,0
14,1
15,0
16,0
17,0
18,2
19,0
20,2
21,-1
22,2
23,2
24,0
25,0
26,1
27,0
28,-1
29,0
30,0
31,2
32,0
33,1
34,-1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,2
46,0
47,-1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,-1
56,0
57,0
58,-2
59,0
60,1
61,0
62,-1
63,-1
64,0
65,0
66,1
67,0
68,0
69,1
70,-1
71,0
72,1
73,-1
74,1
75,0
76,0
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,2
89,0
90,0
91,0
92,0
93,-1
94,1
95,0
