"RowIndex","Prediction"
1,1
2,1
3,1
4,1
5,1
6,1
7,-2
8,-1
9,0
10,-2
11,-1
12,2
13,1
14,1
15,0
16,-2
17,0
18,2
19,0
20,1
21,0
22,2
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,2
31,2
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,-1
44,-2
45,2
46,0
47,-1
48,1
49,2
50,0
51,0
52,0
53,0
54,0
55,-1
56,1
57,-2
58,-1
59,-2
60,2
61,0
62,-1
63,-1
64,0
65,0
66,1
67,-2
68,1
69,1
70,-1
71,0
72,-2
73,-1
74,2
75,-2
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,0
86,2
87,1
88,2
89,-1
90,0
91,1
92,-2
93,-1
94,1
95,0
